Date,"BYU Cougars football"
2015-07-01,119
2015-07-02,115
2015-07-03,91
2015-07-04,120
2015-07-05,104
2015-07-06,129
2015-07-07,158
2015-07-08,194
2015-07-09,132
2015-07-10,118
2015-07-11,110
2015-07-12,91
2015-07-13,140
2015-07-14,149
2015-07-15,146
2015-07-16,156
2015-07-17,136
2015-07-18,131
2015-07-19,113
2015-07-20,125
2015-07-21,138
2015-07-22,152
2015-07-23,136
2015-07-24,140
2015-07-25,127
2015-07-26,129
2015-07-27,158
2015-07-28,152
2015-07-29,176
2015-07-30,152
2015-07-31,159
2015-08-01,111
2015-08-02,132
2015-08-03,143
2015-08-04,139
2015-08-05,142
2015-08-06,164
2015-08-07,139
2015-08-08,143
2015-08-09,152
2015-08-10,134
2015-08-11,165
2015-08-12,147
2015-08-13,154
2015-08-14,174
2015-08-15,145
2015-08-16,162
2015-08-17,181
2015-08-18,202
2015-08-19,173
2015-08-20,160
2015-08-21,175
2015-08-22,180
2015-08-23,188
2015-08-24,230
2015-08-25,260
2015-08-26,236
2015-08-27,202
2015-08-28,240
2015-08-29,227
2015-08-30,236
2015-08-31,330
2015-09-01,300
2015-09-02,363
2015-09-03,403
2015-09-04,610
2015-09-05,2873
2015-09-06,2067
2015-09-07,706
2015-09-08,661
2015-09-09,514
2015-09-10,352
2015-09-11,325
2015-09-12,651
2015-09-13,2130
2015-09-14,914
2015-09-15,544
2015-09-16,425
2015-09-17,393
2015-09-18,390
2015-09-19,724
2015-09-20,1391
2015-09-21,455
2015-09-22,365
2015-09-23,329
2015-09-24,355
2015-09-25,592
2015-09-26,2716
2015-09-27,993
2015-09-28,465
2015-09-29,332
2015-09-30,306
2015-10-01,261
2015-10-02,399
2015-10-03,1185
2015-10-04,518
2015-10-05,405
2015-10-06,314
2015-10-07,309
2015-10-08,230
2015-10-09,328
2015-10-10,444
2015-10-11,793
2015-10-12,803
2015-10-13,550
2015-10-14,320
2015-10-15,268
2015-10-16,434
2015-10-17,1647
2015-10-18,600
2015-10-19,364
2015-10-20,264
2015-10-21,204
2015-10-22,218
2015-10-23,255
2015-10-24,555
2015-10-25,480
2015-10-26,289
2015-10-27,288
2015-10-28,240
2015-10-29,159
2015-10-30,232
2015-10-31,294
2015-11-01,413
2015-11-02,280
2015-11-03,259
2015-11-04,333
2015-11-05,238
2015-11-06,341
2015-11-07,630
2015-11-08,391
2015-11-09,314
2015-11-10,291
2015-11-11,246
2015-11-12,260
2015-11-13,282
2015-11-14,371
2015-11-15,809
2015-11-16,284
2015-11-17,229
2015-11-18,204
2015-11-19,217
2015-11-20,208
2015-11-21,387
2015-11-22,405
2015-11-23,269
2015-11-24,242
2015-11-25,203
2015-11-26,236
2015-11-27,326
2015-11-28,591
2015-11-29,631
2015-11-30,338
2015-12-01,323
2015-12-02,286
